id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Go Johnny Go,Chuck Berry,rock and roll,happy,0.85,168,0.90,0.74,0.24
12,Slow Dancer,Boz Scaggs,soul,romantic,0.40,92,0.55,0.52,0.42
13,Tusk,Fleetwood Mac,rock,driving,0.80,135,0.58,0.60,0.16
14,Rainbow in the Dark,Ronnie James Dio,metal,intense,0.90,140,0.55,0.52,0.05
15,Scary Monsters,David Bowie,art rock,moody,0.78,147,0.45,0.58,0.12
16,Catch the Rainbow,Ritchie Blackmore,rock,dreamy,0.35,70,0.40,0.34,0.44
17,Civil War,Guns n Roses,hard rock,intense,0.75,100,0.35,0.46,0.20
18,Dirty Deeds Done Dirt Cheap,AC/DC,hard rock,confident,0.85,120,0.60,0.62,0.08
19,Love Train,The O'Jays,soul,happy,0.70,118,0.90,0.80,0.22
20,Ball Breaker,AC/DC,hard rock,aggressive,0.88,120,0.50,0.56,0.06
